coords,color
"40.369609,-111.976016",yellow
,green
"40.369634,-111.976002",green
"40.369659,-111.975993",green
"40.369685,-111.975992",green
,orange
"40.369714,-111.975984",orange
"40.369741,-111.975975",orange
"40.369765,-111.975968",orange
"40.369790,-111.975958",orange
,green
"40.369816,-111.975948",green
"40.369841,-111.975939",green
"40.369866,-111.975926",green
"40.369890,-111.975912",green
"40.369915,-111.975893",green
,yellow
"40.369942,-111.975878",yellow
"40.369970,-111.975860",yellow
"40.369994,-111.975843",yellow
"40.370014,-111.975821",yellow
"40.370038,-111.975800",yellow
"40.370060,-111.975787",yellow
"40.370085,-111.975773",yellow
,green
"40.370110,-111.975762",green
"40.370134,-111.975756",green
"40.370162,-111.975750",green
,orange
"40.370190,-111.975737",orange
"40.370215,-111.975731",orange
"40.370237,-111.975718",orange
,green
"40.370258,-111.975706",green
"40.370279,-111.975691",green
,yellow
"40.370300,-111.975671",yellow
"40.370326,-111.975653",yellow
"40.370349,-111.975641",yellow
"40.370374,-111.975629",yellow
,green
"40.370397,-111.975619",green
"40.370419,-111.975613",green
"40.370445,-111.975610",green
,orange
"40.370471,-111.975602",orange
"40.370499,-111.975587",orange
"40.370526,-111.975572",orange
,green
"40.370554,-111.975561",green
"40.370578,-111.975546",green
"40.370600,-111.975525",green
,yellow
"40.370623,-111.975503",yellow
,red
"40.370645,-111.975486",red
,yellow
"40.370668,-111.975472",yellow
"40.370693,-111.975461",yellow
,green
"40.370719,-111.975449",green
"40.370746,-111.975435",green
"40.370773,-111.975425",green
"40.370796,-111.975408",green
"40.370824,-111.975394",green
"40.370850,-111.975379",green
"40.370876,-111.975361",green
"40.370902,-111.975344",green
"40.370927,-111.975332",green
"40.370955,-111.975321",green
"40.370981,-111.975314",green
"40.371005,-111.975303",green
,orange
"40.371030,-111.975293",orange
"40.371054,-111.975282",orange
,green
"40.371070,-111.975266",green
"40.371089,-111.975242",green
,yellow
"40.371106,-111.975221",yellow
,red
"40.371130,-111.975209",red
,yellow
"40.371155,-111.975199",yellow
,green
"40.371180,-111.975190",green
,orange
"40.371205,-111.975180",orange
,green
"40.371228,-111.975170",green
"40.371253,-111.975153",green
"40.371278,-111.975136",green
"40.371298,-111.975114",green
,yellow
"40.371320,-111.975100",yellow
"40.371346,-111.975091",yellow
"40.371371,-111.975084",yellow
,green
"40.371394,-111.975075",green
,orange
"40.371419,-111.975067",orange
"40.371444,-111.975061",orange
"40.371470,-111.975052",orange
